Date,Wage_Index
Jun-1998,67.5
Jun-1999,69.9
Jun-2000,72.0
Jun-2001,74.7
Jun-2002,77.1
Jun-2003,79.9
Jun-2004,82.9
Jun-2005,85.9
Jun-2006,89.4
Jun-2007,92.8
Jun-2008,96.4
Jun-2009,100.0
Jun-2010,103.2
Jun-2011,107.0
Jun-2012,110.9
Jun-2013,114.3
Jun-2014,117.1
Jun-2015,119.8
Jun-2016,122.4
Jun-2017,124.9
Jun-2018,127.5
Jun-2019,130.6
Jun-2020,133.2
