Date,CPI_Index
Jun-18,110.2
Sep-18,110.8
Dec-18,111.3
Mar-19,111.2
Jun-19,112.0
Sep-19,112.6
Dec-19,113.1
Mar-20,113.5
Jun-20,112.1
Sep-20,114.1
Dec-20,113.0
Mar-21,114.6
