Date,Wage_Index
Jun-98,67.3
Jun-99,69.3
Jun-00,71.0
Jun-01,73.5
Jun-02,75.8
Jun-03,78.4
Jun-04,81.7
Jun-05,85.3
Jun-06,88.8
Jun-07,92.4
Jun-08,96.3
Jun-09,100.0
Jun-10,103.5
Jun-11,107.2
Jun-12,110.7
Jun-13,114.9
Jun-14,117.6
Jun-15,119.7
Jun-16,121.7
Jun-17,124.0
Jun-18,126.4
Jun-19,129.0
Jun-20,132.0
