Date,CPI_Index
Jun-18,112.9
Sep-18,113.4
Dec-18,114.0
Mar-19,114.1
Jun-19,114.8
Sep-19,115.5
Dec-19,116.3
Mar-20,116.2
Jun-20,113.6
Sep-20,116.2
Dec-20,117.5
Mar-21,118.2
