Mar-2012	99.9
Jun-2012	100.4
Sep-2012	101.6
Dec-2012	102.0
Mar-2013	102.4
Jun-2013	102.6
Sep-2013	104.0
Dec-2013	104.8
Mar-2014	105.3
Jun-2014	105.9
Sep-2014	106.1
Dec-2014	106.3
Mar-2015	106.4
Jun-2015	107.1
Sep-2015	107.6
Dec-2015	108.3
Mar-2016	108.2
Jun-2016	108.6
Sep-2016	109.1
Dec-2016	109.9
Mar-2017	110.9
Jun-2017	111.0
Sep-2017	111.5
Dec-2017	112.3
Mar-2018	113.3
Jun-2018	113.8
Sep-2018	114.0
Dec-2018	114.6
Mar-2019	114.7
Jun-2019	115.3
Sep-2019	115.9
Dec-2019	116.9
Mar-2020	117.8
Jun-2020	115.7
Sep-2020	116.7
Dec-2020	118.4
Mar-2021	118.8
