Date,CPI_Index
Jun-18,112.1
Sep-18,112.4
Dec-18,113.0
Mar-19,113.1
Jun-19,113.7
Sep-19,114.5
Dec-19,115.4
Mar-20,115.8
Jun-20,114.6
Sep-20,115.7
Dec-20,116.5
Mar-21,117.2
