Date,Wage_Index
Jun-98,68.9
Jun-99,70.9
Jun-00,72.7
Jun-01,74.7
Jun-02,77.0
Jun-03,79.3
Jun-04,82.0
Jun-05,85.0
Jun-06,88.7
Jun-07,92.1
Jun-08,95.7
Jun-09,100.0
Jun-10,103.4
Jun-11,107.5
Jun-12,111.5
Jun-13,115.2
Jun-14,118.3
Jun-15,121.4
Jun-16,124.1
Jun-17,126.7
Jun-18,128.3
Jun-19,131.0
Jun-20,134.0
